Concurrent Viewers,Likes,Dislikes,Total Viewers,Subscriptions Driven,Shares,Timestamp,Quality,,,,Device,,,,,Anticpation/Popularity,Category,,,Region,,,,SourceRegion
a,a,a,a,a,a,a,240p,360,720,1080p,Laptops/Desktop,Android,iPhone,Xbox,Playstation,,News,Sports,Entertainment,Tokyo,Australia,London,America,g
3583,524,67,10/6/2014 15:04,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3569,524,67,10/6/2014 15:04,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3560,524,67,10/6/2014 15:05,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3571,524,67,10/6/2014 15:05,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3580,524,67,10/6/2014 15:06,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3580,524,67,10/6/2014 15:06,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3575,524,67,10/6/2014 15:07,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3567,524,67,10/6/2014 15:08,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3555,524,67,10/6/2014 15:08,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3562,524,67,10/6/2014 15:09,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3554,524,67,10/6/2014 15:09,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3541,524,67,10/6/2014 15:10,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3544,524,67,10/6/2014 15:10,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3550,524,67,10/6/2014 15:11,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3539,524,67,10/6/2014 15:11,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3551,524,67,10/6/2014 15:12,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3546,524,67,10/6/2014 15:12,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3545,524,67,10/6/2014 15:13,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3539,524,67,10/6/2014 15:13,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3526,524,67,10/6/2014 15:14,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3516,524,67,10/6/2014 15:14,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3510,524,67,10/6/2014 15:15,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3506,524,68,10/6/2014 15:15,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3502,525,68,10/6/2014 15:16,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3476,525,68,10/6/2014 15:16,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3514,525,68,10/6/2014 15:17,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3497,525,68,10/6/2014 15:17,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3484,525,68,10/6/2014 15:18,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3486,525,68,10/6/2014 15:18,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3483,525,68,10/6/2014 15:19,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3490,525,68,10/6/2014 15:19,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3474,525,68,10/6/2014 15:20,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3474,525,68,10/6/2014 15:20,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3474,525,68,10/6/2014 15:21,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3500,525,68,10/6/2014 15:21,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3491,525,68,10/6/2014 15:22,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3493,525,68,10/6/2014 15:22,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3508,525,68,10/6/2014 15:23,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3512,525,68,10/6/2014 15:23,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3510,525,68,10/6/2014 15:24,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3496,525,68,10/6/2014 15:24,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3488,525,68,10/6/2014 15:25,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3504,525,68,10/6/2014 15:25,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3491,525,68,10/6/2014 15:26,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3478,525,68,10/6/2014 15:26,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3484,525,68,10/6/2014 15:27,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3479,525,68,10/6/2014 15:27,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3494,525,68,10/6/2014 15:28,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3498,525,68,10/6/2014 15:28,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3511,525,68,10/6/2014 15:29,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3488,525,68,10/6/2014 15:29,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3492,525,68,10/6/2014 15:30,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3488,525,68,10/6/2014 15:30,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3512,525,68,10/6/2014 15:31,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3521,525,68,10/6/2014 15:31,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
3521,526,68,10/6/2014 15:32,a,a,a,1,1,1,1,1,0,0,0,0,0.05,1,0,0,1,1,1,1,0
